NR_CANDIDATO,IDADE,N_Declarou,Menor10K,10kA100K,100kA1000K,Maior1000K,DS_GENERO_FEMININO,DS_GENERO_MASCULINO,DS_COR_RACA_AMARELA,DS_COR_RACA_BRANCA,DS_COR_RACA_INDï¿½GENA,DS_COR_RACA_Nï¿½O INFORMADO,DS_COR_RACA_PARDA,DS_COR_RACA_PRETA,DS_CARGO_DEPUTADO ESTADUAL,DS_CARGO_DEPUTADO FEDERAL,DS_ESTADO_CIVIL_CASADO(A),DS_ESTADO_CIVIL_DIVORCIADO(A),DS_ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE,DS_ESTADO_CIVIL_SOLTEIRO(A),DS_ESTADO_CIVIL_VIï¿½VO(A),QT_VOTOS
44357,39,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,33.0
11323,50,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,102.0
19151,26,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,6.0
35888,61,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0.0
43456,58,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,24.0
14422,83,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,7.0
20321,41,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2.0
33773,36,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
30200,39,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,3.0
11783,40,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2.0
12345,56,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,561.0
90567,68,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
10890,34,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0
44099,38,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1.0
44190,65,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,57.0
70708,41,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0
18369,49,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0
51510,40,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2.0
23999,41,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0
33450,58,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0
44043,58,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3.0
22580,55,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,282.0
44565,39,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
11025,42,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,6.0
70117,56,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
90331,35,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.0
12612,54,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2.0
35089,71,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,3.0
28666,54,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2.0
44002,41,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2.0
35777,67,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2.0
35608,59,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.0
22677,49,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3.0
30630,43,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,23.0
90788,48,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5.0
